building_id;address;building_name;building_city;building_state;building_zip;building_units;building_stories;building_build_year;building_amenities;building_description;path_for_building_images_on_s3
137811;260 North 9th Street ;260 North 9th St. in Williamsburg;Brooklyn;NY;11211;18;6;2012;Fios Available, Nyc Evacuation 3;Experience the ultimate in city living at 260N9. Located in the heart of Williamsburg, Brooklyn’s most talked about neighborhood, this striking boutique condominium is the first of its kind in the area this year and features 20 unique one, two, and three-bedroom residences that will have you envisioning your new home instantly.    Just inside your front door, you’ll find industrially inspired design complete with oversized windows allowing for great natural light, built-in bookshelves, 10-foot ceilings, modern lighting fixtures and natural, white oak hardwood floors. Living spaces flow into one another, while generous closets keep clutter to a minimum.    A designer chef’s kitchen provides ample room for your inner Mario Batali to experiment with the treasures you bring home from the McCarren Park’s weekly green market and other Williamsburg food emporiums. Design highlights include top-of-the-line appliances such as stainless steel Bertazzoni ranges, paneled fridges and dishwashers from Liebherr and Blomberg, dark walnut cabinetry with under-cabinet lighting and open shelving, grey Caesarstone countertops, metallic mosaic backsplashes and Italian-made faucets.    Bathrooms are a serene retreat with warm grey Italian porcelain tile and black mosaic accents, Grohe stainless steel rainfall showerheads, custom-built concrete sinks and dark walnut vanities. Deep soaking Zuma bathtubs are built for relaxation and accompanied by radiant heated floors, a true winter perk. Before long, your favorite day spa will start to wonder where you’ve been.    Residences also feature a virtual doorman system, washer/dryer hookups in each apartment and private outdoor spaces - some with spectacular views of the Williamsburg Bridge. Building amenities include a state-of-the-art fitness center, a furnished roof deck with breathtaking panoramic views and indoor parking available for purchase.    Just outside 260N9, explore world famous Williamsburg, Brooklyn with its endless options for shopping, brunching, relaxing or gallivanting. 35-acre McCarren Park, complete with a dog run, public pool and sports fields is only three blocks away. Drink and dine in style at The Wythe Hotel’s Reynard Restaurant or Brooklyn Winery. Pick up a fragrant candle at Nomaterra or dine overlooking the park at Urban Rustic. Get your daily dose of life-force energy at Juicepress or the Williamsburg staple, OSLO coffee. All of this and more is the life at 260N9, a few short blocks from the Bedford L train station, the Citi Bike share at Metropolitan and Bedford and minutes away from Manhattan.    This is not an offering. The complete offering terms are available in an offering plan from the sponsor N 9th LLC CD# 10-0268;['building_images/137811/92048834.jpg', 'building_images/137811/92048835.jpg', 'building_images/137811/92048836.jpg', 'building_images/137811/92048837.jpg', 'building_images/137811/92048838.jpg', 'building_images/137811/92048839.jpg', 'building_images/137811/92048840.jpg', 'building_images/137811/92048841.jpg', 'building_images/137811/92048842.jpg', 'building_images/137811/92048843.jpg', 'building_images/137811/92048844.jpg', 'building_images/137811/92048845.jpg', 'building_images/137811/92048846.jpg', 'building_images/137811/92048847.jpg', 'building_images/137811/92048848.jpg', 'building_images/137811/92048849.jpg']
137812;429 Kent Avenue ;Oosten at 429 Kent Ave. in Williamsburg;Brooklyn;NY;11249;216;8;2015;Childrens Playroom, Concierge, Doorman, Elevator, Fios Available, Gym, Live In Super, Nyc Evacuation 5, Parking, Pool, Recreation Facilities, Roofdeck, Storage Room;Old Breukelen and new Brooklyn become one in Oosten, the most exciting new development to arrive on South Williamsburg's vibrant waterfront district. In this stunning building, Dutch architect Piet Boon brings the elements that have made him an international design talent to a location reminiscent of his native Holland. With Oosten, he pays homage to his Dutch heritage with clean, streamlined elements that get more beautiful over time, and which harken back to the history of the neighborhood in which it is situated.     Consisting of 216 units and encompassing an entire block, Oosten makes a dramatic statement in South Williamsburg. The building’s façade is articulated using local materials that only improve with age and is a modern interpretation of the area’s industrial past. Gunmetal framing windows mingle with brick to create an homage to the Williamsburg Bridge, as well as to the area’s rich building heritage. Oosten’s seven different unit typologies (townhomes, duplex homes, 1-, 2-, & 3-bedrooms, lofts, and duplex penthouses), articulated on the exterior, express the range of the building and create an amazing variation on the façade.    For the interiors, Boon’s designs are quintessentially Dutch, and exemplify a perfect mix of practicality, humanity and humor. Homes are designed in the Dutch tradition, with light and dark finishing packages available to residents, both palettes serene and neutral. Concrete and steel mingle with green and organic elements, and floor-to-ceiling windows and lush patios bring the outdoors in. Located just a stone’s throw from the Williamsburg Bridge, these residences boast clean yet industrial details that, like the neighborhood’s historic relics, gain a magical patina over time.;['building_images/137812/92048850.jpg', 'building_images/137812/92048851.jpg', 'building_images/137812/92048852.jpg', 'building_images/137812/92048853.jpg', 'building_images/137812/92048854.jpg', 'building_images/137812/92048855.jpg', 'building_images/137812/92048856.jpg', 'building_images/137812/92048857.jpg', 'building_images/137812/92048858.jpg', 'building_images/137812/92048859.jpg', 'building_images/137812/92048860.jpg']
137813;3536 Cambridge Avenue ;3536 Cambridge Ave. in Spuyten Duyvil;Bronx;NY;10463;;0;0;;3536 Cambridge Avenue is a Building located in the Spuyten Duyvil neighborhood in Bronx, NY. 3536 Cambridge Avenue was built in 0 and has 0 stories and 0 units.;['building_images/137813/92048861.jpg', 'building_images/137813/92048862.jpg']
137814;235 West 75th Street ;The Astor at 235 West 75th St. in Upper West Side;New York;NY;10023;98;12;1901;Bike Room, Doorman, Elevator, Fios Available, Gym, Laundry, Live In Super, Pets;The Astor: One block, three towers, built by William Waldorf Astor in 1901 and positioned as one of the most prominent residential buildings in New York City’s Upper West Side. The Astor offers the pedigree and elegance of a pre-war gem, with the modern conveniences and straight forward purchase structure of a condominium. Reimagined for today, with grand proportions and gracious layouts, The Astor has received a detailed restoration and modern upgrades suited for today’s homeowner. A distinguished façade by Clinton & Russell features unique grey brick, a rusticated limestone base, hand carved Juliet balconies, with an imposing copper cornice. Situated on Broadway between 75th and 76th Streets, this architecture and location cannot be replicated.;['building_images/137814/92048863.jpg', 'building_images/137814/92048864.jpg', 'building_images/137814/92048865.jpg', 'building_images/137814/92048866.jpg', 'building_images/137814/92048867.jpg', 'building_images/137814/92048868.jpg', 'building_images/137814/92048869.jpg', 'building_images/137814/92048870.jpg', 'building_images/137814/92048871.jpg', 'building_images/137814/92048872.jpg', 'building_images/137814/92048873.jpg', 'building_images/137814/92048874.jpg']
137815;1793 Riverside Drive ;1793 Riverside Drive in Inwood;New York;NY;10034;58;6;1926;Bike Room, Dogs, Elevator, Laundry, Live In Super, Nyc Evacuation 5, Pied A Terre, Sublets;This prewar building is right across the street from Ft. Tryon Park and just one block from Inwood Hill Park.;[]
137816;56 Leonard Street 17A-EAST;56 Leonard at 56 Leonard St. in Tribeca;New York;NY;10013;145;60;2015;Bike Room, Childrens Playroom, Cold Storage, Concierge, Deck, Dogs, Doorman, Elevator, Fios Available, Garage, Gym, Hot Tub, Laundry, Live In Super, Media Room, Nyc Evacuation 3, Package Room, Pool, Storage Room, Valet Parking;56 Leonard is a new Global Landmark in Tribeca. Developed by Alexico Group and designed by Herzog & de Meuron, 56 Leonard is a vertical glass expression of sculpted surfaces, cantilevers and sparkling glass with an original Anish Kapoor sculpture at its base. The 145 unique condominium residences, each with private outdoor space, range from open lofts to five bedrooms. Soaring ceilings and floor-to-ceiling glass window walls reveal breathtaking panoramas of the cityscape, water, bridges and beyond. Izak Senbahar's vison for an iconic tower in the New York skyline for this Tribeca location was actualized by Pritzker-Prize winning architects Herzog & de Meuron.  At 60 stories, 56 Leonard is a monumental symbol of great art and architecture with an original Anish Kapoor sculpture at its base. Called the most alluring addition to the downtown skyline in decades, 56 Leonard's 17,000 square feet of amenities include a 75' infinity pool, indoor/outdoor theater, outdoor sundeck, fitness center, treatment rooms, steam room, sauna, lounge and children's playroom.;['building_images/137816/92048875.jpg', 'building_images/137816/92048876.jpg', 'building_images/137816/92048877.jpg', 'building_images/137816/92048878.jpg', 'building_images/137816/92048879.jpg', 'building_images/137816/92048880.jpg', 'building_images/137816/92048881.jpg']
137817;217-07 131st Avenue;217-07 131st Ave. in Laurelton;Queens;NY;11413;1;2;1930;Fios Available;217-07 131st Avenue is a House located in the Laurelton neighborhood in Queens, NY. 217-07 131st Avenue was built in 1930 and has 2 stories and 1 unit.;['building_images/137817/92048882.jpg', 'building_images/137817/92048883.jpg', 'building_images/137817/92048884.jpg', 'building_images/137817/92048885.jpg', 'building_images/137817/92048886.jpg', 'building_images/137817/92048887.jpg', 'building_images/137817/92048888.jpg', 'building_images/137817/92048889.jpg', 'building_images/137817/92048890.jpg', 'building_images/137817/92048891.jpg', 'building_images/137817/92048892.jpg', 'building_images/137817/92048893.jpg']
137818;2702 Avenue Y;2702 Ave. Y in Sheepshead Bay;Brooklyn;NY;11235;2;2;1930;Fios Available, Nyc Evacuation 3;2702 Avenue Y is a House located in the Sheepshead Bay neighborhood in Brooklyn, NY. 2702 Avenue Y was built in 1930 and has 2 stories and 2 units.;['building_images/137818/92048894.jpg', 'building_images/137818/92048895.jpg', 'building_images/137818/92048896.jpg', 'building_images/137818/92048897.jpg', 'building_images/137818/92048898.jpg', 'building_images/137818/92048899.jpg', 'building_images/137818/92048900.jpg']
137819;2133 Bogart Avenue ;2133 Bogart Ave. in Bronxdale;Bronx;NY;10462;2;2;1940;Fios Available;2133 Bogart Avenue is a House located in the Bronxdale neighborhood in Bronx, NY. 2133 Bogart Avenue was built in 1940 and has 2 stories and 2 units.;['building_images/137819/92048901.jpg']
137820;246 Spring Street ;Trump Soho Hotel Condominium at 246 Spring St. in Hudson Square;New York;NY;10013;391;46;2009;Dogs, Elevator, Full Time Doorman, Gym, Nyc Evacuation 4, Pool, Roofdeck, Virtual Doorman;The first Trump development in downtown New York, Trump SoHo™ New York is located on Spring Street in the heart of fashionable SoHo (South of Houston). Just steps from world-class galleries, restaurants and shops, it boasts unrivaled views of the city’s spectacular skyline, the Hudson River, Statue of Liberty and Empire State Building.    Introducing a new definition of hotel design to SoHo, the neighborhood’s only luxury hotel condominium will be a dramatic glass tower by renowned Handel Architects, rising 46 stories with 391 elegant guestrooms and suites ranging from 422 to 905 square feet – several of which can be combined to create spacious two-bedroom suites – and three one-of-a-kind luxury Spa Suites. The top three floors will be crowned with 10 spectacular penthouse suites ranging from 1,194 to 2,331 square feet.    Trump SoHo will offer all of the exceptional amenities of the Trump Hotel Collection, including world-class dining, an 11,000-square-foot Spa at Trump®, state-of-the-art fitness center, and the signature services of a Trump Attaché™.     The lobby will feature ceilings over 22 feet high and four ceramic columns covered by a chocolate and a soft blue plaster, along with intimate seating. Interior spaces, designed by the legendary Rockwell Group, will include The Library, an intimate gathering area overlooking the lobby, and an 1,800-square-foot private top-floor venue called SoHi, along with several conference spaces and a business center.    A landscaped Urban Plaza adjacent to the hotel will extend from Spring Street to Dominick Street, with decorative lighting and spacious seating areas.     Located on the spa level, an outdoor Pool Deck will offer a relaxing atmosphere and will be home to a full-sized Bocce court. The full-service Bar d’ Eau will serve seasonal and classic cocktails.;['building_images/137820/92048902.jpg', 'building_images/137820/92048903.jpg', 'building_images/137820/92048904.jpg', 'building_images/137820/92048905.jpg', 'building_images/137820/92048906.jpg', 'building_images/137820/92048907.jpg', 'building_images/137820/92048908.jpg']
137821;1722 East 37th Street;1722 East 37th St. in Marine Park;Brooklyn;NY;11234;1;2;1925;Fios Available, Nyc Evacuation 4;1722 East 37th Street is a House located in the Marine Park neighborhood in Brooklyn, NY. 1722 East 37th Street was built in 1925 and has 2 stories and 1 unit.;['building_images/137821/92048909.jpg']
137822;66-59 75th Street;66-59 75th St. in Middle Village;Queens;NY;11379;1;2;1920;Fios Available;66-59 75th Street is a House located in the Middle Village neighborhood in Queens, NY. 66-59 75th Street was built in 1920 and has 2 stories and 1 unit.;['building_images/137822/92048910.jpg', 'building_images/137822/92048911.jpg', 'building_images/137822/92048912.jpg', 'building_images/137822/92048913.jpg', 'building_images/137822/92048914.jpg']
137823;44 Skyline Dr;44 Skyline Drive in Park Hill;Staten Island;NY;10304;1;3;1992;Fios Available;44 Skyline Drive is a House located in the Park Hill neighborhood in Staten Island, NY. 44 Skyline Drive was built in 1992 and has 3 stories and 1 unit.;['building_images/137823/92048915.jpg', 'building_images/137823/92048916.jpg', 'building_images/137823/92048917.jpg', 'building_images/137823/92048918.jpg', 'building_images/137823/92048919.jpg', 'building_images/137823/92048920.jpg']
137824;20 West Street ;Downtown Athletic Club Building at 20 West St. in Financial District;New York;NY;10004;283;45;1930;Bike Room, Concierge, Deck, Elevator, Fios Available, Full Time Doorman, Guarantors, Gym, Laundry, Live In Super, Nyc Evacuation 1, Pied A Terre, Recreation Facilities, Roofdeck, Virtual Doorman;Located at 20 West Street in the Financial District, the Downtown Club is a 283-unit condominium that was formerly the site of the Downtown Athletic Club. The original art-deco style clubhouse was built in 1930 and designed by Starrett & van Vleck, the firm behind many New York department stores including Bloomingdales and Saks Fifth Avenue. The building served as a member’s only social and athletic club until 2011 when in the aftermath of the September 11th attacks much commercial and residential activity in Lower Manhattan shut down. In 2002, the club declared bankruptcy.    In 2005, the Downtown Club re-opened as a residential tower after a major renovation. The signature art deco style of the highrise contributed to its designation as a city landmark in 2000. With orange brick, skillful masonry, and decorative facades, the building is a testament to its style and the building conventions of its time.    Each unit in 20 West Street contains stainless steel GE appliances and granite countertops in the kitchen, as well as Italian marble in the bathroom. There are studio as well as one-, two-, and three-bedroom apartments available, some of which have private outdoor terraces. The building has a 24-hour concierge service and features amenities including a valet service, fitness center, residential lounge, common terrace, and indoor bicycle storage.     Located in the Financial District at the southern tip of Manhattan, 20 West Street is within walking distance of eateries, retailers, and public transportation, including ferries to other destinations. Also within range are Battery Park and the Hudson Waterfront.;['building_images/137824/92048921.jpg', 'building_images/137824/92048922.jpg', 'building_images/137824/92048923.jpg', 'building_images/137824/92048924.jpg', 'building_images/137824/92048925.jpg']
137825;330 Third Avenue ;330 Third Ave. in Kips Bay;New York;NY;10010;206;20;1964;Bike Room, Co Purchase, Dogs, Elevator, Fios Available, Full Time Doorman, Gifts, Laundry, Live In Super, Parents, Pied A Terre, Sublets;"Located in Gramercy North, 330 Third Ave was constructed in 1964 and converted to a cooperative in 1984. It has 202 units and is a full service 24hr doorman building. 330 Third Ave's facade was pointed and replaced both elevators in 2007. It also boasts a new laundry room, bolier and roof. Steps to Gramercy, Madison Square and Union Square Parks. Centrally located near transportation, tons of restaurants, nightlife,and all conveniences. Pied-a-terres, co-purchases and dogs up to 40 lbs allowed.    Description provided by \""Andrew Saracino\"":https://www.streeteasy.com/nyc/contact/9505-andrew-saracino";['building_images/137825/92048926.jpg', 'building_images/137825/92048927.jpg', 'building_images/137825/92048928.jpg']
137826;144-45 Charter Road ;144-45 Charter Road in Kew Gardens Hills;Queens;NY;11435;;;;Fios Available;144-45 Charter Road is a Building located in the Kew Gardens Hills neighborhood in Queens, NY.;[]
137827;1548 East 38th Street;1548 East 38th St. in Marine Park;Brooklyn;NY;11234;1;2;1925;Fios Available, Nyc Evacuation 5;1548 East 38th Street is a House located in the Marine Park neighborhood in Brooklyn, NY. 1548 East 38th Street was built in 1925 and has 2 stories and 1 unit.;['building_images/137827/92048929.jpg']
137828;28 Perry Street ;28 Perry St. in West Village;New York;NY;10014;17;5;1900;Nyc Evacuation 5;"28 Perry Street is a boutique condominium in the heart of Greenwich Village. It is located close to Hudson River Park, restaurants, transportation and the new Whitney Museum. Pets and pied a terres are ok. There is a live in superintendent.    Description provided by \""Elizabeth Wohl\"":https://streeteasy.com/profile/843838-elizabeth-wohl";['building_images/137828/92048930.jpg', 'building_images/137828/92048931.jpg']
137829;15 Broad Street ;Downtown by Philippe Starck at 15 Broad St. in Financial District;New York;NY;10005;382;42;1914;Bike Room, Childrens Playroom, Concierge, Dogs, Elevator, Fios Available, Full Time Doorman, Gym, Laundry, Live In Super, Nyc Evacuation 4, Pool, Recreation Facilities, Roofdeck;"The former home of the JP Morgan Bank headquarters, 15 Broad, known as “Downtown by Philippe Starck,” was the forerunner of the downtown transformation, and the first luxury high-rise condominium on the block. Internationally-acclaimed Starck, along with architect Ismael Leyva and developer A.I. Boymelgreen, worked wonders in turning the epicenter of American finance at the intersection of Broad and Wall Streets into a luxurious residential paradise. Converted in 2006, this 42-story landmark tower located directly across from the NY Stock Exchange offers 382 stylish apartments with 160 layouts to suit any resident’s needs.    Innovatively-designed apartments offer abundant light shining in through new oversized windows. South-facing apartments showcase river views, while those facing north overlook rich Gotham architecture. Other distinctive features include average 11’ ceiling heights; 4’ maple hardwood floors; a Bosch washer/dryer; chef’s kitchens adorned with premium stainless appliances (Bosch gas cooktop and convection oven, Jenn-Air refrigerator, Bosch dishwasher, custom Hansgrohe faucets by Starck, stainless steel sink with a garbage disposal) and chic Starck-designed lighting; plus sleek baths finished in 16\"" honed Thassos marble with a Duravit soaking tub, Hansgrohe shower fixtures, special white vessel sinks with Thassos marble countertops.     15 Broad affords residents an impressive list of white-glove amenities such as a highly- attentive doorman, staff and concierge; dry cleaning, laundry and housekeeping services; swimming and reflecting pools; a fully-equipped fitness center; yoga/ballet room; basketball and squash courts; bowling alley; business center; sports lounge; recreation and children’s rooms; and an incredible 5000-sf roof terrace with views of The New York Stock Exchange.   The building has very low common charges, and is under the 421G tax abatement program. Its prime location puts you amid a wealth of subway transportation and area conveniences.    Building Description Provided By \""David Schwartz\"":http://streeteasy.com/dischwartz";['building_images/137829/92048932.jpg', 'building_images/137829/92048933.jpg', 'building_images/137829/92048934.jpg', 'building_images/137829/92048935.jpg', 'building_images/137829/92048936.jpg', 'building_images/137829/92048937.jpg', 'building_images/137829/92048938.jpg', 'building_images/137829/92048939.jpg', 'building_images/137829/92048940.jpg', 'building_images/137829/92048941.jpg', 'building_images/137829/92048942.jpg']
137830;225-227 South 3rd Street ;227 South 3rd St. in Williamsburg;Brooklyn;NY;11211;24;6;1907;Fios Available;"2 Bedroom 1 bath in prime Williamsburg. This apartment has high ceilings, windows in every room with great light! This quiet sunny home has a split two bedroom layout, eat-in-windowed kitchen with washer (washer/dryer allowed), living room and one bath with new sink and tub. Pet friendly. $615 maintenance includes taxes, heat and hot water! Fifth floor (4 flights up) in walk-up building. Great South Williamsburg location convenient to restaurants, bars shopping and transportation from both the L train and the J, M and Z lines. Pre-war HDFC Coop. Must be primary residence. NO investors. Income Eligibility: For a household of one or two the maximum income allowed is $56,000.00. For a household of three of more its $65,000.00. 10% flip tax on the profit.     Building Description Provided By \""Mitchell Hall\"":http://streeteasy.com/mhall";[]
137831;213-08 73rd Avenue ;213-08 73rd Ave. in Oakland Gardens;Queens;NY;11364;;;;Fios Available;213-08 73rd Avenue is a Building located in the Oakland Gardens neighborhood in Queens, NY.;[]
137832;115-20 146th Street;115-20 146th St. in South Jamaica;Queens;NY;11436;1;2;1930;Fios Available, Nyc Evacuation 5;115-20 146th Street is a House located in the South Jamaica neighborhood in Queens, NY. 115-20 146th Street was built in 1930 and has 2 stories and 1 unit.;['building_images/137832/92048943.jpg', 'building_images/137832/92048944.jpg', 'building_images/137832/92048945.jpg', 'building_images/137832/92048946.jpg', 'building_images/137832/92048947.jpg', 'building_images/137832/92048948.jpg', 'building_images/137832/92048949.jpg', 'building_images/137832/92048950.jpg', 'building_images/137832/92048951.jpg', 'building_images/137832/92048952.jpg', 'building_images/137832/92048953.jpg', 'building_images/137832/92048954.jpg', 'building_images/137832/92048955.jpg', 'building_images/137832/92048956.jpg', 'building_images/137832/92048957.jpg', 'building_images/137832/92048958.jpg']
