building_id;listing_id;address;unit_;price;beds;baths;sq_feet;rooms;description;days_on_market;last_price_change;monthly_taxes;common_charges;maintenance;agent_company;agent_name;path_for_images_on_s3;path_for_floorplans_on_s3
137811;10236511;1 West End Avenue ;16A;5000000;3;3;2718;5;Immediate Occupancy.  This extraordinary 2,718 square-foot corner three bedroom, three-and-a-half bath residence designed by Jeffrey Beers is wrapped in floor-to-ceiling windows showcasing city views to the north and west. A rich walnut residential entrance door complemented by a brushed bronze newspaper box and Nanz hardware invites one into the exceptionally finished space featuring seven-and-a-half-inch wide walnut plank flooring throughout. The Italian-crafted Scavolini kitchen - custom-designed by Jeffrey Beers is open to the corner living room and outfitted with light-stained walnut cabinetry accented by white matte glass panels. Marble slab countertops and backsplash, polished chrome fixtures by Dornbracht and a full suite of integrated professional appliances by Wolf, Miele and Sub-Zero, as well as a Gaggenau wine refrigerator, beautifully finish the space. The north-facing master bedroom features two oversized walk-in closets and a luxurious en-suite five-fixture master bath complete with radiant heated Bianco Dolomiti marble floors, brushed limestone walls, marble slab countertop, Dornbracht fixtures, glass enclosed shower and Zuma soaking tub. Both en-suite secondary baths are clad in Opal White marble floors and walls with Dornbracht fixtures and custom-stained oak vanities with Lacava countertops. A laundry room, coat closet, and powder room featuring a Calacatta Fabricotti custom vanity with carved stone sink, Eramosa marble floor and herringbone inlay accent wall complete this exquisitely-designed residence.  One West End, a sculptural glass residential tower with exterior architecture by Pelli Clarke Pelli, rises elegantly above Riverside Center - Atelier Christian de Portzamparc's master-planned neighborhood enclave. Featuring interiors designed by hospitality visionary Jeffrey Beers, the 42-story condominium offers 246 one-to-four bedroom residences including a curated collection of Penthouse and Tower Duplex homes.   Commanding a full city block between 59th and 60th Streets at West End Avenue, One West End is home to expansive indoor and outdoor resort-inspired amenities including a 75-foot swimming pool within a double-height cantilevered atrium, a private fitness center and spa, and a 12,000 square foot terrace featuring cabanas, lush green spaces and areas for grilling and outdoor entertaining. Additional grandly-scaled amenity spaces include a living room with fireplace, media, billiards and game rooms, a children's playroom overlooking the garden terrace and a private dining room with chef's demonstration kitchen. On-site parking and resident storage are also available. The complete terms are in an offering plan available from the Sponsor (File No: CD14-0259).;6;;171;3043;;Douglas Elliman;Fredrik Eklund;[u'unit_images/137811/10236511/299623685.jpg', u'unit_images/137811/10236511/299623675.jpg', u'unit_images/137811/10236511/299623663.jpg', u'unit_images/137811/10236511/299623677.jpg', u'unit_images/137811/10236511/299623664.jpg', u'unit_images/137811/10236511/299623788.jpg', u'unit_images/137811/10236511/299623775.jpg', u'unit_images/137811/10236511/299623753.jpg', u'unit_images/137811/10236511/299623729.jpg', u'unit_images/137811/10236511/299623708.jpg', u'unit_images/137811/10236511/299623702.jpg', u'unit_images/137811/10236511/299623698.jpg', u'unit_images/137811/10236511/299623694.jpg', u'unit_images/137811/10236511/299623690.jpg', u'unit_images/137811/10236511/299623683.jpg', u'unit_images/137811/10236511/299623671.jpg'];[u'floorplan_images/137811/10236511/d5fec2622eb48c380f650aa05cec94f0462a4b8a.jpg']
137812;10236512;260 North 9th Street ;6D;997500;1;1;752;3;Sundrenched South-facing Williamsburg apartment with 421A Tax Abatement. This 1 Bedroom, 1 Bathroom unit boasts over 795 square feet of indoor and outdoor living including private balcony plus high ceilings. The home features include Gourmet Kitchen with Bertazzoni range, Liebherr refrigerator, Blomberg Dishwasher, Bespoke Walnut Cabinetry and Caesarstone countertops. Bathroom features include: Deep Soaking Zuma bathtub, Grohe Rainfall Shower and radiant heated floors. Oversized windows, Wide Plank White Oak Wood Floors, Full Size in home Washer and Dryer. Building amenities include state of the art fitness center, furnished common roof deck including views of the Empire State Building and Freedom Tower, DEEDED PRIVATE PARKING GARAGE AVAILABLE IN BUILIDNG - $100,000 . Nearby to McCarren Park, Dine at Lilia's right around the corner, pop over to Bedford Avenue and enjoy all that this sought after Williamsburg neighborhood has to offer. Easy access to the Bedford Street L station as well as Citi Bike share on Metropolitan and Bedford. This is an amazing chance to live in this sensational Williamsburg apartment with 421A TAX ABATEMENT.;6;;N/A;420;;Douglas Elliman;Jennifer Ellenberg;[u'unit_images/137812/10236512/299560244.jpg', u'unit_images/137812/10236512/299560240.jpg', u'unit_images/137812/10236512/299560236.jpg', u'unit_images/137812/10236512/299560232.jpg', u'unit_images/137812/10236512/299560228.jpg', u'unit_images/137812/10236512/299560224.jpg', u'unit_images/137812/10236512/299560220.jpg', u'unit_images/137812/10236512/299560216.jpg', u'unit_images/137812/10236512/299560209.jpg'];[u'floorplan_images/137812/10236512/b1795ee48fae8fb6b883ef67a008947c9f1492ac.jpg']
137813;10236513;429 Kent Avenue ;738;1100000;1;1;714;3;Tenant in place till April 2019 at $3200. Unique building designed by acclaimed architect Piet Boon. West facing one bedroom with large closet space. Fully equipped kitchen with Smeg appliances, marble countertop and built-in storage. Washer and Dryer in unit. Floor to Ceiling window in the living room, central AC and heat. Oosten also features an unprecedented level of amenities. Two lobbies, a 24-hour concierge, an enormous courtyard, a landscaped rooftop with reflection pool, a gorgeous lap pool, as well as a lounge and a children's playroom, and a fitness center with a spa have all been specially created with the Oosten resident in mind. Great restaurants, shopping and supermarkets nearby. Walking distance to South Williamsburg Ferry and J,M,Z at Marcy Ave train station. Tax Abatement till June 2032;6;;N/A;506;;Douglas Elliman;Crystal;[u'unit_images/137813/10236513/299560200.jpg', u'unit_images/137813/10236513/299560192.jpg', u'unit_images/137813/10236513/299560187.jpg', u'unit_images/137813/10236513/299560175.jpg', u'unit_images/137813/10236513/299560162.jpg', u'unit_images/137813/10236513/299560146.jpg', u'unit_images/137813/10236513/299560176.jpg', u'unit_images/137813/10236513/299560160.jpg', u'unit_images/137813/10236513/299560144.jpg', u'unit_images/137813/10236513/299560159.jpg', u'unit_images/137813/10236513/299560142.jpg'];[u'floorplan_images/137813/10236513/e0c6f4cff741d8fda2c38f57ae5d26da0d2eacad.jpg']
137814;10236514;3536 Cambridge Avenue ;6B;685000;3;2;1204;5;New Construction 3 bedroom, 2 bathroom condominium apartment in central Riverdale. Prime location near Johnson Avenue and Riverdale Avenue stores, restaurants, Starbucks, Moss Cafe, parks, and transportation. The apartment features great natural light with Eastern Exposure, newly refinished hardwood floors, new kitchen with breakfast bar and cherry wood cabinets, granite counter-tops, GE stainless steel appliances. Large living room and a split bedroom layout allow for more privacy for the master bedroom which has an en-suite bathroom and two large closets. In-residence washer and dryer. Low common charges of $643 include central heating, water and cooking gas. Pet-friendly. 421-a real estate tax abatement through 2024 with a current R.E tax of just $23 per month. Deeded parking available at $30,000 outdoors and $40,000 indoors. Buyers assume NYC & NYS Property Transfer Tax. The complete offering terms are in an Offering Plan available from Sponsor. File No. CD-040443;7;;23;643;;Exclusive Properties Sotheby's International Realty;Ardit Gjonaj;[u'unit_images/137814/10236514/299560049.jpg', u'unit_images/137814/10236514/299560045.jpg'];[]
137815;10236515;235 West 75th Street ;412;7909000;4;4.5;3228;5;"Contemporary Upper West Side living meets classic New York in this east facing four bedroom, four and a half bath home at The Astor condominium.   A majestic entry gallery welcomes you to an exceptional sunlit corner great room. The elegantly designed gourmet eat-in kitchen features Lerfoy Brooks fixtures, Calacatta marble countertops and backsplash, custom paneled millwork in matte white, a center island clad in full Calacatta marble slabs complete with a tasteful assortment of top of the line Gaggenau, Miele, and Subzero appliances.   The master bedroom suite is complemented with a large dressing area and an exquisite windowed master bathroom dressed in floor to ceiling Calacatta Gold, Nero Gold and Tundra Grey marble tiles accented by Haisa marble mosaics. The bathroom also features a deep MTI freestanding soaking tub, Lefroy Brooks fixtures throughout, double sink vanity, radiant heated floors, with the shower and Durviat by Starck wall mounted water closet separately enclosed.   The three additional bedrooms and three additional bathrooms featuring Lefroy Brooks fixtures, 24 inch square honed Glassos tile floors lined with 6 inch square ceramic tiled walls completed with custom vanities of Glassos slab, custom frameless medicine cabinets, Kohler under mount porcelain sinks, Durviat by Starck wall mounted toilet, Kohler under mount bathtub with polished Glassos slab deck within the shower.   A powder room adorned with Nordic Grey Stone slab and a polished Glassos countertop with nickel vanity pedestal and a separate laundry area with a Bosch washer/dryer complete this home.   Additional Features Include: 5in Herringbone floors in living areas with walnut inlay; Double paned insulated windows; Individual climate control in every room; 10ft ceilings; Smartly prewired for motorized shades, advanced home automation, AV systems, and TimeWarner Cable or Fios.";51;;4570;4199;;Douglas Elliman;Kathy Murray;[u'unit_images/137815/10236515/293739842.jpg', u'unit_images/137815/10236515/293739797.jpg', u'unit_images/137815/10236515/293739717.jpg', u'unit_images/137815/10236515/293739680.jpg', u'unit_images/137815/10236515/293740202.jpg', u'unit_images/137815/10236515/293740106.jpg', u'unit_images/137815/10236515/293740059.jpg', u'unit_images/137815/10236515/293740010.jpg', u'unit_images/137815/10236515/293739925.jpg', u'unit_images/137815/10236515/293739849.jpg', u'unit_images/137815/10236515/293739802.jpg', u'unit_images/137815/10236515/293739728.jpg', u'unit_images/137815/10236515/293739682.jpg'];[u'floorplan_images/137815/10236515/0b02b5e84e07ea23aec2b7ae6ab1f63be70b8d59.jpg']
137816;10236516;1793 Riverside Drive ;3D;585000;2;1;;4;Apartment 3D at 1793 Riverside Drive is an incredibly bright and spacious 2 bedroom 1 bathroom apartment with huge living room and recently renovated eat-in kitchen in the up and coming Inwood neighborhood.   1793 Riverside Drive is located near Fort Tryon Park, The Cloister Museum and Inwood Hill Park. Fantastic restaurants such as La Marina waterfront restaurant, Seawalk and Mamasushi are just around the corner. There's also a year round green market, tennis courts, dog runs, hiking trails, Summer concerts and theater, The Dyckman Museum and so much more. The A express train stop is just 2 blocks away.;23;;N/A;;$807 ;;;[u'unit_images/137816/10236516/298255305.jpg', u'unit_images/137816/10236516/298255293.jpg', u'unit_images/137816/10236516/298255279.jpg', u'unit_images/137816/10236516/298255266.jpg', u'unit_images/137816/10236516/297593739.jpg', u'unit_images/137816/10236516/297593674.jpg', u'unit_images/137816/10236516/297593541.jpg'];[u'floorplan_images/137816/10236516/663ae9aadcb7b7336d1456da1ced5a0d55c3f080.jpg']
137817;10236517;56 Leonard Street 17A-EAST;;3200000;1;1.5;1027;3;A Rare Find...This gorgeous, generously sized apartment at the iconic 56 Leonard has one bedroom, 1.5 bathrooms AND a balcony. There are beautiful open views from every floor to ceiling window, and the exposures are equally stunning day and night.  The open kitchen is well-designed, with white Corian counters, glossy white cabinets, and top of the line appliances including a Sub-Zero refrigerator and Miele oven and dishwasher. There are soaring 11' ceilings, solid white oak hard wood floors, oversized rooms, a Miele washer/dryer, and three closets, including a large walk-in. The spectacular en-suite windowed master bath has stunning elements of glass, mirrors, travertine, marble, and radiant heated floors, and the powder room is very chic! The windows have all been fitted with motorized shades.There is a 4-pipe heating and cooling system for year-round multi-zone climate control. 421A Tax Abatement. Photos and floorplan to follow...  One of the most exciting and fascinating new condominiums in Manhattan, 56 Leonard was designed by architects Herzog & de Meuron, and reflects a unique design. There are 145 unique residences, all with outdoor space, abundant light and breathtaking views of the cityscape, rivers, bridges and beyond. This full service building has a live-in super, doorman, and concierge, and 17,000 square feet of amenities, including a 75' lap pool with a sundeck, a state of the art gym, a screening room, a lounge, a dining room and a playroom as well as an on-site parking garage.;7;;507;1079;;Corcoran;Debbie Baum;[u'unit_images/137817/10236517/299705279.jpg', u'unit_images/137817/10236517/299705309.jpg', u'unit_images/137817/10236517/299705301.jpg', u'unit_images/137817/10236517/299705293.jpg', u'unit_images/137817/10236517/299705285.jpg', u'unit_images/137817/10236517/299558428.jpg', u'unit_images/137817/10236517/299558424.jpg', u'unit_images/137817/10236517/299558420.jpg', u'unit_images/137817/10236517/299558417.jpg'];[u'floorplan_images/137817/10236517/62eb541ce6d5c13ca927af800210a51ef70562a8.jpg']
137818;10236518;217-07 131st Avenue;;525000;3;1.5;;5;Big Beautifully Renovated Single Family\r \r 3BR\r 2 Full Baths\r New Kitchen\r Hard Wood Floors\r Finished Basement\r Huge Backyard\r Driveway;7;;3800;;;Lee Rosenblum, LREB;Robert Sambone;[u'unit_images/137818/10236518/299546884.jpg', u'unit_images/137818/10236518/299546888.jpg', u'unit_images/137818/10236518/299546890.jpg', u'unit_images/137818/10236518/299546893.jpg', u'unit_images/137818/10236518/299546911.jpg', u'unit_images/137818/10236518/299546912.jpg'];[]
137819;10236519;2702 Avenue Y;;990000;4;2.5;;9;Beautiful, legal two-family home on the corner of East 27th St., right in the heart of Sheepshead Bay. This property is very well kept, almost as clean as a photo. The building has a nice walk-in studio apartment. The duplex upstairs has a larger sized living room, dining room, and kitchen. In addition, there are 3 bedrooms, and a nicely sized modern bathroom. The front has a private driveway and a walk-in garage, with full possession. The location of the property offers easy access to a multitude of amenities including schools (PS. 811 & 52), bus stops, playgrounds, shopping centers, restaurants, and much more! The property will be gone soon, so dont miss your chance! The seller is eager, and the listing agent is responsive the selling process will be as smooth as possible.;7;;N/A;;;Ben Bay Realty Co;Sue Chen;[u'unit_images/137819/10236519/299545118.jpg', u'unit_images/137819/10236519/299545103.jpg', u'unit_images/137819/10236519/299545091.jpg', u'unit_images/137819/10236519/299545080.jpg', u'unit_images/137819/10236519/299545068.jpg', u'unit_images/137819/10236519/299545055.jpg', u'unit_images/137819/10236519/299545044.jpg'];[]
137820;10236520;2133 Bogart Avenue ;2FAM;685000;5;2;2073;9;newly renovated 2 family home located in the quiet residential vicinity of pelham parkway.  100% solid brick/semi-detached house you can live in forever. close to all major transportational hubs.  two  minutes walk to the express #2 & #5 train to manhattan (35 minutes to mid-town). the house lay-out includes a extra large 3 bedroom duplex apartment and very large income apartment on the first floor.  washer/dryer hook-up, stainless steel appliances, and parking are  also available. start the new year off right with this perfectly located house.;7;;464;;;Penthouse Realty & Management CO INC;Kirkland St. George;[u'unit_images/137820/10236520/299544624.jpg'];[]
137821;10236521;246 Spring Street ;2710;1200000;1;1.5;781;5;PERFECT TURN KEY INVESTMENT OPPORTUNITY!!!   A beautiful masterwork located in the heart of SoHo, this exquisitely designed one bedroom is the perfect place to call home. Perched high on the 27th floor of the prestigious Trump SoHo Hotel Condominium is the perfect investment unit at an unbeatable price. This luxurious 781 SF residence boasts scenic city views from every floor to ceiling window exquisite uptown North East views from the bedroom and North West from the Livingroom. 2710 has been appointed with the finest in custom furnishings by Fendi Casa, electronic shades, sleeper sofa, in-room kitchen with free Nespresso coffee, free Wi-Fi, microwave, fully stocked refrigerator, European-style wet bar and Secure Closets for Long Term Storage. The master bath includes a marble soaking tub with eastern exposures, stand-alone walk in shower with rain showerhead, and a double sink making it the perfect oasis.   The owners at the Trump SoHo enjoy access to world-class amenities including a from world class dining at Koi SoHo, Signature Services at the Trump Attach, 30 % off at the 11,000 sq. ft. bi-level Spa, Library Lounge, The Spot Cocktail Lounge, Trump SoHo's own library, seasonal pool with Bar D'eau, meetings/event space, 24-hour Business center, valet parking, and 24-hour concierge and hotel services. Owners can occupy their unit for up to 120 days each calendar year and can utilize rental programs. Trump SoHo has a very strong occupancy rate and offers management services all year round and is just steps from world-class galleries, restaurants and shops. One of the few turn-key investment opportunities in downtown Manhattan.   Contact Bracha New York today for a private viewing.;7;;1417;5371;;Keller Williams NYC;Ilan Bracha;[u'unit_images/137821/10236521/299543587.jpg', u'unit_images/137821/10236521/299543814.jpg', u'unit_images/137821/10236521/299543794.jpg', u'unit_images/137821/10236521/299543766.jpg', u'unit_images/137821/10236521/299543721.jpg', u'unit_images/137821/10236521/299543700.jpg', u'unit_images/137821/10236521/299543679.jpg', u'unit_images/137821/10236521/299543645.jpg', u'unit_images/137821/10236521/299543605.jpg'];[u'floorplan_images/137821/10236521/4047c81e8db7c7963b19c934c5fcc2eb7898f4bd.jpg']
137822;10236522;1722 East 37th Street;;499900;2;1;812;5;2 bedroom duplex handy man special being sold in \As-Is\ condition. Create your dream home.;7;;N/A;;;Fillmore;Ken MacBride;[u'unit_images/137822/10236522/299543190.jpg'];[]
137823;10236523;66-59 75th Street;;729000;3;2.5;;1;Middle Village Colonial Home 3 Bedrooms 2.5 Baths, Living Room, Formal Dining Room, Finished Basement, Close To Transportation, Schools And Shopping;7;;376;;;Douglas Elliman;Muhittin David Ilkay, Paul Constante and Clara Valderrama;[u'unit_images/137823/10236523/299542512.jpg', u'unit_images/137823/10236523/299542482.jpg', u'unit_images/137823/10236523/299542473.jpg', u'unit_images/137823/10236523/299542461.jpg', u'unit_images/137823/10236523/299542447.jpg'];[]
137824;10236524;44 Skyline Dr;;499000;3;3;1404;6;Beautiful move in condition 1 family 3 bedroom townhome in private gated community of Clifton neighborhood. Consists of 3 bed rooms, 3 full baths, living room, dining room, and kitchen. It has a fully finished basement and also has a private driveway for 1 parking space.;7;;2725;;;Momentum Real Estate LLC;Momentum Real Estate;[u'unit_images/137824/10236524/299542278.jpg', u'unit_images/137824/10236524/299542292.jpg', u'unit_images/137824/10236524/299542293.jpg', u'unit_images/137824/10236524/299542297.jpg', u'unit_images/137824/10236524/299542301.jpg', u'unit_images/137824/10236524/299542300.jpg'];[]
